City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kiunga,PG,-6.1219,141.2906,71.98,99,100,2.39,overcast clouds
1,Pauini,BR,-7.7136,-66.9764,90.21,51,73,1.54,broken clouds
2,Plettenberg Bay,ZA,-34.0527,23.3716,70.9,70,0,12.1,clear sky
3,Iqaluit,CA,63.7506,-68.5145,6.53,84,75,3.44,broken clouds
4,Naze,JP,28.3667,129.4833,50.92,73,98,26.49,light rain
5,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,20,3.44,few clouds
6,Busselton,AU,-33.65,115.3333,63.14,71,9,9.46,clear sky
7,Kavaratti,IN,10.5669,72.642,81.52,65,59,6.82,broken clouds
8,Dali,CN,25.7,100.1833,42.94,76,2,3.89,clear sky
9,Saint George,US,37.1041,-113.5841,36.19,64,0,0.0,clear sky
10,Chuy,UY,-33.6971,-53.4616,77.38,51,11,16.08,few clouds
11,Barrow,US,71.2906,-156.7887,15.82,86,100,10.36,overcast clouds
12,Ust-Maya,RU,60.4167,134.5333,-12.87,98,100,0.72,overcast clouds
13,Bengkulu,ID,-3.8004,102.2655,76.42,87,100,5.23,moderate rain
14,Yellowknife,CA,62.456,-114.3525,-37.68,67,20,3.44,few clouds
15,Mataura,NZ,-46.1927,168.8643,53.53,99,97,1.07,overcast clouds
16,Kapaa,US,22.0752,-159.319,71.58,77,30,4.43,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,64.06,52,0,3.44,clear sky
18,Khanpur,PK,28.6453,70.6567,59.92,21,0,6.13,clear sky
19,Yokadouma,CM,3.5167,15.05,80.22,44,91,1.92,overcast clouds
20,Coahuayana,MX,18.7333,-103.6833,87.42,35,0,5.14,clear sky
21,Geraldton,AU,-28.7667,114.6,70.21,43,3,9.22,clear sky
22,Pevek,RU,69.7008,170.3133,-0.53,78,0,2.21,clear sky
23,Port Alfred,ZA,-33.5906,26.891,74.23,83,0,11.9,clear sky
24,New Norfolk,AU,-42.7826,147.0587,55.71,76,72,1.43,broken clouds
25,Pekan,MY,3.4836,103.3996,75.31,93,100,6.29,heavy intensity rain
26,Tilichiki,RU,60.4667,166.1,-1.16,89,97,11.59,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,80.1,62,0,12.66,clear sky
28,Yuanping,CN,38.7153,112.7575,18.01,48,0,3.38,clear sky
29,Rikitea,PF,-23.1203,-134.9692,76.68,78,6,8.39,clear sky
30,Castro,BR,-24.7911,-50.0119,68.31,64,89,5.57,overcast clouds
31,Hobart,AU,-42.8794,147.3294,56.05,93,100,3.44,overcast clouds
32,Krasnoselkup,RU,65.7,82.4667,-9.56,95,93,13.22,overcast clouds
33,Hilo,US,19.7297,-155.09,76.28,85,100,3.44,overcast clouds
34,Chokurdakh,RU,70.6333,147.9167,-14.62,100,14,1.61,few clouds
35,Vaini,TO,-21.2,-175.2,77.16,94,75,4.61,broken clouds
36,Nikolskoye,RU,59.7035,30.7861,35.8,96,100,8.99,overcast clouds
37,Hithadhoo,MV,-0.6,73.0833,81.68,70,78,16.55,broken clouds
38,Punta Arenas,CL,-53.15,-70.9167,62.62,82,100,8.05,light intensity shower rain
